序号	流水号	项    目    名    称	起止时间	资助经费(万元)	下  达  部  门	
164	LS2008-3	图与超图谱理论的若干应用问题研究	2009-2011	27.00 	国家自然科学基金	
165	LS2008-4	超大规模集成电路物理设计中多目标优化问题的粒子群优化算法研究	2009-2011	26.00 	国家自然科学基金	
166	LS2008-5	超大规模集成电路中的图论问题	2008-2010	1.50 	福建省自然科学基金（自由）	
167	LS2008-6	路覆盖与超大规模集成电路设计中的拥挤度问题	2008-2010	2.50 	校科技发展基金	
168	LS2008-7	差分进化算法在VLSI布图规划中的应用研究	2008-2010	1.50 	校科技发展基金	
169	LS2008-8	超大规模集成电路设计中的图论问题	2007-2010	2.00	校人才基金	
170	LS2008-9	国际数学联盟执委会2009年年会	2009-2009	10.00	国家自然科学基金	
生物科学与工程学院						
171	SW2008-1	应用高效离子交换色谱快速分析检测不同致病力的青枯菌	2008-2010	7.00 	福建省自然科学基金	
172	SW2008-2	栀子京尼平的中药生物转化基础研究	2008-2010	6.00 	福建省自然科学基金	
173	SW2008-3	枇杷叶中提取高纯度科罗索酸工艺研究	2008-2010	1.00 	福建省自然科学基金（自由）	
174	SW2008-4	黄酒中天然抗氧化活性成分及其作用机理研究	2008-2010	1.00 	福建省自然科学基金（自由）	
175	SW2008-5	基于网络服务模式和GPGPU的生物分子模拟软件	2008-2011	8.00 	福建省青年科技人才创新项目	
176	SW2008-6	细胞内自由基清除剂的放射防护效应及其构效研究	2009-2011	20.00 	国家自然科学基金	
177	SW2008-7	板蓝根汤剂中美拉德反应产物的抗流感病毒研究	2008-2010	2.50 	校科技发展基金	
178	SW2008-8	基于自由基理论的缺血性脑卒中的新型药物开发	2008-2010	1.50 	校科技发展基金	
179	SW2008-9	枇杷叶中熊果酸的提取与分离纯化研究	2008-2009	1.50 	校科技发展基金	
180	SW2008-10	碳纳米管同病毒抗原蛋白的相互作用机理	2008-2010	15.00	校人才基金	
181	SW2008-11	鲍鱼明目滴眼液的研制	2008-2011	4.00	校人才基金	
182	SW2008-12	细胞内自由基清除剂的放射防护效应及其构效研究	2008-2011	19.50	省卫生教育联合攻关计划	
183	SW2008-13	细胞内自由基清除剂放射防护应及其机理的研究	2008-2010	1.00	福建省教育厅A类	
184	SW2008-14	五类降糖新药颐力宝胶囊的临床前研究	2008-2010	80.00	省科技厅	
185	SW2008-15	板蓝根汤剂中呈黑褐色物质（美拉德反应产物）的研究	2008-2010	12.00	福建省科技厅	
186	SW2008-16	新一代低毒、抗耐药新庆大霉素的研制	2008-2010	10.00	福建省科技厅	
187	SW2008-17	基于蛋白质特性和生物改良技术研究开发圣农优质白羽鸡肉系列产品	2008-2010	11.00	福建省科技厅	
188	SW2008-18	以纤维素为原料的生物乙醇生产关键技研究	2008-2011	20.00	福建省发改委	
189	SW2008-19	鳗鱼精养池生态式养殖技术研究与示范	2008-2009	9.25	省淡水水产研究所	
190	SW2008-20	临床用抗生素西索米星的生物合成途径	2008-2009	3.42	国家基金合作项目	
191	SW2008-21	综合利用油茶粨废弃物生产茶皂素生物农药系列产品	2008-2010	19.00	福建省科技厅	
192	SW2008-22	咸蛋快速研制机理探讨及工艺的研究	2008-2011	2.50	校人才基金	
193	SW2008-23	临床用抗生素西索米星的生物合成途径和其中3'，4'位双脱羟基转化机制的研究	2009-2011	5.70	国家自然科学基金（上海医药工业研究院主持）	
福州大学生物医药研究院						
194	YY2008-1	贝壳珍珠层可溶性食品添加剂的研发	2008-2010	70.00	福建省海洋与渔业局	
195	YY2008-2	表阿霉素缓释制剂及其载体晶体生长机理研究	2008-2009	3.00	中国医药科学院	
196	YY2008-3	长循环靶向胶束的构建及体内外性能研究	2008-2010	8.00	中国医药科学院	
197	YY2008-4	鲍鱼壳可溶性基质中蛋白组分分离与生物活性研究	2008-2011	50.00	校人才基金	
数学与计算机科学学院						
198	SX2008-1	虚拟环境中仿真情景适应性演化模型的研究	2009-2011	19.00 	国家自然科学基金	
199	SX2008-2	基于广义约束最小绝对偏差估计的盲图像恢复神经网络算法	2009-2011	32.00 	国家自然科学基金	
200	SX2008-3	基于软计算的分布式传感器网络任务调度研究	2008-2011	20.00 	福建省自然科学基金（重点）	
201	SX2008-4	基于约束最小绝对偏差估计的人工神经网络算法及在非高斯噪声信号与图象处理中应用	2008-2010	7.00 	福建省自然科学基金	
202	SX2008-5	非负半环上线性群的若干研究	2008-2010	1.50 	福建省自然科学基金（自由）	
203	SX2008-6	基于跨层设计的无线Mesh网络路由算法的研究	2008-2010	8.00 	福建省青年科技人才创新项目	
204	SX2008-7	无线Mesh网络的关键理论研究	2008-2010	2.50 	校科技发展基金	
205	SX2008-8	无线网状网路由关键技术的研究	2008-2010	2.50 	校科技发展基金	
206	SX2008-9	树鞅理论及其应用	2008-2010	1.50 	校科技发展基金	
